,app_number,patent_number,blocked_app,date,blocking_type
3520,"08/654,901",5894320,11932449,2011-04-06,103a
3521,"08/654,901",5894320,11498686,2011-08-08,103a
3522,"08/560,219",5862140,11327640,2011-10-27,103a
3523,"08/560,219",5862140,11386526,2011-10-24,103a
3524,"08/560,219",5862140,12188371,2012-02-01,103a
3525,"08/568,094",5732350,12117299,2011-02-28,103a
3526,"08/568,094",5732350,11781489,2011-02-18,103a
3527,"08/568,094",5732350,12117299,2011-07-06,103a
3528,"08/568,094",5732350,12117299,2012-12-19,103a
3529,"08/926,074",6049537,11943172,2011-08-09,103a
3530,"08/926,074",6049537,11943172,2011-08-09,103a
3531,"08/926,074",6049537,11943172,2011-08-09,103a
3532,"08/926,074",6049537,12405649,2012-04-30,102e
3533,"09/124,946",6130883,11643682,2011-11-22,103a
3534,"09/836,006",6925501,10975244,2011-08-18,103a
3535,"09/836,006",6925501,10975244,2011-03-03,103a
3536,"09/836,006",6925501,12497226,2012-02-22,103a
3537,"08/609,754",5777558,12169680,2012-05-10,103a
3538,"09/235,956",6336091,11619793,2011-08-16,103a
3539,"09/235,956",6336091,11928665,2011-06-30,102b
3540,"09/235,956",6336091,12365879,2011-07-14,103a
3541,"09/235,956",6336091,11916993,2011-08-10,103a
3542,"09/235,956",6336091,13053005,2012-11-09,103
3543,"09/235,956",6336091,10532919,2013-11-08,103a
3544,"08/888,552",6122271,10802147,2011-06-10,103a
3545,"09/661,739",7062544,12477630,2011-07-21,103a
3546,"10/170,982",6885638,11121685,2011-05-11,103a
3547,"09/283,352",6072987,11849602,2011-03-24,102b
3548,"09/283,352",6072987,11856788,2011-01-05,103a
3549,"09/268,570",6374100,13022998,2013-01-23,103a
3550,"09/268,570",6374100,13022998,2013-01-23,103a
3551,"10/634,610",7170341,12365853,2011-11-28,103a
3552,"10/634,610",7170341,12365853,2011-08-03,102b
3553,"10/634,610",7170341,12365853,2012-03-07,103a
3554,"10/634,610",7170341,12365853,2012-07-12,103a
3555,"09/921,392",7113771,12898895,2014-01-24,103a
3556,"11/243,102",7423997,11924419,2011-03-01,103
3557,"09/553,252",6882856,11399031,2011-08-22,103a
3558,"09/553,252",6882856,11462201,2011-02-15,103a
3559,"08/953,948",6058106,11774282,2011-01-10,103a
3560,"11/390,873",7479928,11944573,2011-04-12,103
3561,"09/074,750",6178327,12091567,2011-07-20,102
3562,"09/074,750",6178327,12091567,2012-03-27,103a
3563,"09/456,921",6418149,11278635,2011-01-19,103a
3564,"09/456,921",6418149,11278635,2011-06-21,103a
3565,"09/127,799",6068946,12169393,2011-05-12,102b
3566,"09/127,799",6068946,12169393,2011-05-12,103a
3567,"09/127,799",6068946,12169393,2011-05-12,103a
3568,"09/127,799",6068946,12169393,2011-05-12,103a
3569,"09/127,799",6068946,12695589,2012-02-16,103a
3570,"09/127,799",6068946,12695589,2012-02-16,103a
3571,"09/127,799",6068946,12695589,2012-02-16,103a
3572,"09/127,799",6068946,12695589,2012-05-25,103a
3573,"09/127,799",6068946,12695589,2012-05-25,103a
3574,"09/127,799",6068946,12695589,2012-05-25,103a
3575,"09/127,799",6068946,12549570,2012-02-17,103
3576,"09/127,799",6068946,12549570,2012-02-17,103a
3577,"09/127,799",6068946,12549570,2012-02-17,103a
3578,"09/127,799",6068946,12549570,2012-02-17,103
3579,"09/127,799",6068946,12549570,2012-02-17,103a
3580,"10/695,513",8107885,13084154,2013-04-09,102e
3581,"10/695,513",8107885,13084154,2013-04-09,103a
3582,"10/695,513",8107885,13084154,2013-04-09,103a
3583,"09/598,602",6443340,11073152,2011-03-01,103a
3584,"09/108,512",6173431,12039645,2012-06-13,103a
3585,"10/201,244",7162740,12187211,2012-05-17,103a
3586,"10/201,244",7162740,12187211,2012-05-17,103a
3587,"10/201,244",7162740,12187211,2012-05-17,103a
3588,"10/201,244",7162740,12187211,2012-05-17,103a
3589,"10/201,244",7162740,12187211,2012-05-17,103a
3590,"10/201,244",7162740,12187211,2012-05-17,103a
3591,"11/325,048",7516471,12165586,2012-05-11,103a
